draw,pearson_r,spearman_rho,cosine_similarity,sign_concordance,projection
0,-0.4046607648237904,-0.328695652173913,-0.39128758832958743,0.4166666666666667,-0.05978773631864552
1,0.7401058729809111,0.7530434782608695,0.17400503978758622,0.4166666666666667,0.0275521439050334
2,-0.14450408074328483,-0.1782608695652174,-0.016612397434052628,0.4166666666666667,-0.0018576266462089657
3,0.004747409201237313,-0.07739130434782608,-0.5306600594423605,0.2916666666666667,-0.12412417849409947
4,-0.3889060439443801,-0.3643478260869565,-0.43023658946664606,0.3333333333333333,-0.061346243330988724
5,-0.5079581699148871,-0.48521739130434777,0.32496827338211487,0.75,0.06318939813649366
6,-0.26095948449770445,-0.13565217391304346,0.30600712545836095,0.7083333333333334,0.060522710647107146
7,0.05864828352535367,0.18,0.4223440346820995,0.625,0.055769734451102865
8,-0.34656517200437487,-0.32956521739130434,0.07848787296593364,0.5,0.014342587471030786
9,0.4540798440121345,0.33999999999999997,-0.04175661004114821,0.4166666666666667,-0.009702458690774823
10,0.38980324829566193,0.23217391304347823,0.30880961921715794,0.5416666666666666,0.04821252049595914
11,-0.4211086332655769,-0.40086956521739125,0.04400379543538784,0.5416666666666666,0.007625742343921609
12,-0.26956786042473657,-0.21130434782608692,-0.1875965965136905,0.5416666666666666,-0.018130863308980602
13,-0.001697548002349395,-0.027826086956521737,0.2164191873905117,0.5416666666666666,0.033741825589016713
14,-0.4267525906265456,-0.6113043478260869,-0.7171946044055534,0.125,-0.09643472304823948
15,-0.3060480037735478,-0.22,-0.5655783116883835,0.2916666666666667,-0.0887677942800748
16,-0.1424653865799422,-0.10956521739130433,-0.236962143941159,0.3333333333333333,-0.030474167362875698
17,-0.15843852455075053,-0.17739130434782607,-0.3210312020214078,0.4166666666666667,-0.05541083660746734
18,-0.47099726807788467,-0.4513043478260869,0.2545935843912565,0.625,0.043289316752057404
19,0.11011418895608976,-0.02434782608695652,0.5895472826291014,0.9166666666666666,0.07423808435636388
20,-0.328641530094282,-0.29565217391304344,-0.6635030152199005,0.16666666666666666,-0.10678417974480306
21,-0.342514297328958,-0.3852173913043478,0.2071395612323419,0.6666666666666666,0.03301381158820682
22,-0.3479254429490476,-0.3869565217391304,0.2141895600386276,0.7083333333333334,0.02710560865066437
23,-0.3794771126886495,-0.4208695652173913,-0.2052400056756822,0.5,-0.023968856252733702
24,0.38696143920812553,0.3834782608695652,-0.39577382693371915,0.16666666666666666,-0.07459275200821186
25,0.1344204052358412,0.22,0.1357993391564733,0.7083333333333334,0.01608353052480618
26,0.2767027447251914,0.09217391304347824,0.1376890467946224,0.5416666666666666,0.016490781859853466
27,-0.4475243917336297,-0.4591304347826086,0.35038770506079714,0.7916666666666666,0.06933205063853201
28,-0.2345253526499504,-0.23217391304347823,-0.3128555455290429,0.4583333333333333,-0.05082623623858125
29,-0.12027934382154767,-0.08173913043478259,-0.34531653474235013,0.375,-0.06023856080405413
30,-0.010069405208558469,0.04521739130434782,0.07737344018813098,0.5,0.00847053847817198
31,0.4922903448347562,0.45999999999999996,-0.0038333938870138765,0.375,-0.0004997621000314642
32,0.3545453485730913,0.40347826086956523,0.6404134671153745,0.7916666666666666,0.13734161559054806
33,0.762734376466955,0.728695652173913,0.37941737215332033,0.5,0.051926524980187634
34,0.12761862873329136,0.1452173913043478,-0.25919307257677104,0.375,-0.03559109398559378
35,-0.15279689798796492,-0.17565217391304347,0.20739056349105764,0.4583333333333333,0.02483133905653301
36,-0.2727515634832622,-0.2417391304347826,-0.530354648209884,0.4583333333333333,-0.08912387818437655
37,0.6564897737674958,0.6626086956521738,-0.21996088020995513,0.25,-0.04861219503876597
38,0.2878966636580557,0.1226086956521739,-0.09069790140245404,0.375,-0.013480191084341222
39,-0.4451496143378346,-0.18347826086956517,-0.7094492316754,0.16666666666666666,-0.1343908600133841
40,-0.4605509225115705,-0.46434782608695646,-0.3313478856723792,0.4166666666666667,-0.04552929633919174
41,0.006432430980156292,-0.11043478260869564,-0.09887818481113683,0.375,-0.020190404505678675
42,0.27499683824415944,0.13739130434782607,-0.37053860536729183,0.3333333333333333,-0.0661681204186337
43,-0.5516109810526469,-0.3921739130434782,-0.3037288424484769,0.5833333333333334,-0.0413247563301743
44,0.06475498083746585,0.03826086956521739,0.3520193640169752,0.5,0.034728301156550394
45,-0.05478912392557127,0.12347826086956522,-0.29459350934581824,0.25,-0.06306485180822247
46,0.1420429033123795,0.06782608695652173,0.24772750173420696,0.625,0.024829115320595965
